,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,AAPL221021C00050000,2022-04-21 11:05AM EDT,50.0,120.85,0.0,0.0,0.0,-,4,0,0.00%
1,AAPL221021C00070000,2022-04-01 12:30PM EDT,70.0,103.05,87.95,88.45,0.0,-,2,174,63.31%
2,AAPL221021C00075000,2022-04-28 10:44AM EDT,75.0,85.56,0.0,0.0,0.0,-,20,0,0.00%
3,AAPL221021C00080000,2022-03-07 11:26AM EDT,80.0,83.25,90.4,94.5,0.0,-,4,6,141.88%
4,AAPL221021C00085000,2022-04-19 12:50PM EDT,85.0,82.17,0.0,0.0,0.0,-,1,0,0.00%
5,AAPL221021C00090000,2022-04-19 3:28PM EDT,90.0,78.27,0.0,0.0,0.0,-,1,0,0.00%
6,AAPL221021C00095000,2022-04-29 10:28AM EDT,95.0,69.23,0.0,0.0,0.0,-,2,0,0.00%
7,AAPL221021C00100000,2022-04-26 3:40PM EDT,100.0,59.64,0.0,0.0,0.0,-,24,0,0.00%
8,AAPL221021C00105000,2022-04-28 10:25AM EDT,105.0,57.35,0.0,0.0,0.0,-,5,0,0.00%
9,AAPL221021C00110000,2022-04-26 10:48AM EDT,110.0,52.13,0.0,0.0,0.0,-,2,0,0.00%
10,AAPL221021C00115000,2022-04-25 11:17AM EDT,115.0,48.1,0.0,0.0,0.0,-,1,0,0.00%
11,AAPL221021C00120000,2022-04-27 3:33PM EDT,120.0,41.05,0.0,0.0,0.0,-,6,0,0.00%
12,AAPL221021C00125000,2022-04-28 9:49AM EDT,125.0,39.25,0.0,0.0,0.0,-,1,0,0.00%
13,AAPL221021C00130000,2022-04-29 10:18AM EDT,130.0,38.45,0.0,0.0,0.0,-,2,0,0.00%
14,AAPL221021C00135000,2022-04-29 2:40PM EDT,135.0,31.45,0.0,0.0,0.0,-,60,0,0.00%
15,AAPL221021C00140000,2022-04-29 3:11PM EDT,140.0,27.52,0.0,0.0,0.0,-,68,0,0.00%
16,AAPL221021C00145000,2022-04-29 10:08AM EDT,145.0,27.44,0.0,0.0,0.0,-,1,0,0.00%
17,AAPL221021C00150000,2022-04-29 3:57PM EDT,150.0,19.7,0.0,0.0,0.0,-,40,0,0.00%
18,AAPL221021C00155000,2022-04-29 3:59PM EDT,155.0,16.65,0.0,0.0,0.0,-,34,0,0.00%
19,AAPL221021C00160000,2022-04-29 3:52PM EDT,160.0,14.25,0.0,0.0,0.0,-,101,0,0.78%
20,AAPL221021C00165000,2022-04-29 3:50PM EDT,165.0,11.73,0.0,0.0,0.0,-,192,0,1.56%
21,AAPL221021C00170000,2022-04-29 3:51PM EDT,170.0,9.6,0.0,0.0,0.0,-,441,0,3.13%
22,AAPL221021C00175000,2022-04-29 3:54PM EDT,175.0,7.85,0.0,0.0,0.0,-,75,0,3.13%
23,AAPL221021C00180000,2022-04-29 3:59PM EDT,180.0,6.53,0.0,0.0,0.0,-,370,0,3.13%
24,AAPL221021C00185000,2022-04-29 3:59PM EDT,185.0,5.1,0.0,0.0,0.0,-,177,0,6.25%
25,AAPL221021C00190000,2022-04-29 3:50PM EDT,190.0,3.9,0.0,0.0,0.0,-,394,0,6.25%
26,AAPL221021C00195000,2022-04-29 3:45PM EDT,195.0,3.21,0.0,0.0,0.0,-,111,0,6.25%
27,AAPL221021C00200000,2022-04-29 3:51PM EDT,200.0,2.47,0.0,0.0,0.0,-,185,0,6.25%
28,AAPL221021C00205000,2022-04-29 3:45PM EDT,205.0,1.95,0.0,0.0,0.0,-,33,0,6.25%
29,AAPL221021C00210000,2022-04-29 3:50PM EDT,210.0,1.43,0.0,0.0,0.0,-,29,0,6.25%
30,AAPL221021C00215000,2022-04-29 3:46PM EDT,215.0,1.18,0.0,0.0,0.0,-,23,0,12.50%
31,AAPL221021C00220000,2022-04-29 3:57PM EDT,220.0,0.9,0.0,0.0,0.0,-,193,0,12.50%
32,AAPL221021C00225000,2022-04-29 12:02PM EDT,225.0,0.8,0.0,0.0,0.0,-,130,0,12.50%
33,AAPL221021C00230000,2022-04-29 12:54PM EDT,230.0,0.63,0.0,0.0,0.0,-,48,0,12.50%
34,AAPL221021C00235000,2022-04-21 2:35PM EDT,235.0,0.65,0.0,0.0,0.0,-,66,0,12.50%
35,AAPL221021C00240000,2022-04-29 12:21PM EDT,240.0,0.43,0.0,0.0,0.0,-,371,0,12.50%
36,AAPL221021C00245000,2022-04-29 1:45PM EDT,245.0,0.34,0.0,0.0,0.0,-,19,0,12.50%
37,AAPL221021C00250000,2022-04-29 2:31PM EDT,250.0,0.29,0.0,0.0,0.0,-,208,0,12.50%
38,AAPL221021C00255000,2022-04-29 3:55PM EDT,255.0,0.24,0.0,0.0,0.0,-,1,0,12.50%
39,AAPL221021C00260000,2022-04-29 3:56PM EDT,260.0,0.2,0.0,0.0,0.0,-,10,0,12.50%
40,AAPL221021C00265000,2022-04-29 12:01PM EDT,265.0,0.17,0.0,0.0,0.0,-,5,0,12.50%
41,AAPL221021C00270000,2022-04-29 9:53AM EDT,270.0,0.17,0.0,0.0,0.0,-,1,0,12.50%
42,AAPL221021C00280000,2022-04-29 3:36PM EDT,280.0,0.11,0.0,0.0,0.0,-,100,0,12.50%
43,AAPL221021C00290000,2022-04-27 10:07AM EDT,290.0,0.08,0.0,0.0,0.0,-,1,0,12.50%
44,AAPL221021C00300000,2022-04-29 3:13PM EDT,300.0,0.07,0.0,0.0,0.0,-,360,0,25.00%
