,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,AAPL221021P00050000,2022-04-29 2:55PM EDT,50.0,0.05,0.0,0.0,0.0,-,13,0,25.00%
1,AAPL221021P00060000,2022-04-28 2:15PM EDT,60.0,0.11,0.0,0.0,0.0,-,1,0,25.00%
2,AAPL221021P00070000,2022-04-29 3:50PM EDT,70.0,0.26,0.0,0.0,0.0,-,1,0,25.00%
3,AAPL221021P00075000,2022-04-29 3:53PM EDT,75.0,0.37,0.0,0.0,0.0,-,78,0,25.00%
4,AAPL221021P00080000,2022-04-28 3:55PM EDT,80.0,0.4,0.0,0.0,0.0,-,108,0,25.00%
5,AAPL221021P00085000,2022-04-29 3:26PM EDT,85.0,0.6,0.0,0.0,0.0,-,34,0,25.00%
6,AAPL221021P00090000,2022-04-29 3:59PM EDT,90.0,0.86,0.0,0.0,0.0,-,4,0,12.50%
7,AAPL221021P00095000,2022-04-29 3:38PM EDT,95.0,1.07,0.0,0.0,0.0,-,69,0,12.50%
8,AAPL221021P00100000,2022-04-29 2:50PM EDT,100.0,1.28,0.0,0.0,0.0,-,45,0,12.50%
9,AAPL221021P00105000,2022-04-29 9:36AM EDT,105.0,1.25,0.0,0.0,0.0,-,1,0,12.50%
10,AAPL221021P00110000,2022-04-29 12:33PM EDT,110.0,1.93,0.0,0.0,0.0,-,31,0,12.50%
11,AAPL221021P00115000,2022-04-29 2:16PM EDT,115.0,2.47,0.0,0.0,0.0,-,129,0,12.50%
12,AAPL221021P00120000,2022-04-29 3:56PM EDT,120.0,3.6,0.0,0.0,0.0,-,24,0,6.25%
13,AAPL221021P00125000,2022-04-29 3:59PM EDT,125.0,4.4,0.0,0.0,0.0,-,1204,0,6.25%
14,AAPL221021P00130000,2022-04-29 3:30PM EDT,130.0,5.1,0.0,0.0,0.0,-,7,0,6.25%
15,AAPL221021P00135000,2022-04-29 3:49PM EDT,135.0,6.4,0.0,0.0,0.0,-,25,0,6.25%
16,AAPL221021P00140000,2022-04-29 3:26PM EDT,140.0,7.4,0.0,0.0,0.0,-,89,0,3.13%
17,AAPL221021P00145000,2022-04-29 3:53PM EDT,145.0,9.5,0.0,0.0,0.0,-,103,0,3.13%
18,AAPL221021P00150000,2022-04-29 3:57PM EDT,150.0,11.35,0.0,0.0,0.0,-,227,0,1.56%
19,AAPL221021P00155000,2022-04-29 3:57PM EDT,155.0,13.41,0.0,0.0,0.0,-,257,0,0.78%
20,AAPL221021P00160000,2022-04-29 3:53PM EDT,160.0,15.67,0.0,0.0,0.0,-,2223,0,0.00%
21,AAPL221021P00165000,2022-04-29 3:59PM EDT,165.0,18.35,0.0,0.0,0.0,-,119,0,0.00%
22,AAPL221021P00170000,2022-04-29 3:05PM EDT,170.0,20.0,0.0,0.0,0.0,-,70,0,0.00%
23,AAPL221021P00175000,2022-04-29 2:27PM EDT,175.0,22.62,0.0,0.0,0.0,-,111,0,0.00%
24,AAPL221021P00180000,2022-04-29 2:17PM EDT,180.0,25.85,0.0,0.0,0.0,-,60,0,0.00%
25,AAPL221021P00185000,2022-04-29 2:58PM EDT,185.0,29.9,0.0,0.0,0.0,-,48,0,0.00%
26,AAPL221021P00190000,2022-04-29 3:11PM EDT,190.0,33.96,0.0,0.0,0.0,-,646,0,0.00%
27,AAPL221021P00195000,2022-04-29 10:28AM EDT,195.0,34.9,0.0,0.0,0.0,-,185,0,0.00%
28,AAPL221021P00200000,2022-04-29 12:07PM EDT,200.0,41.35,0.0,0.0,0.0,-,70,0,0.00%
29,AAPL221021P00205000,2022-04-29 10:03AM EDT,205.0,41.35,0.0,0.0,0.0,-,54,0,0.00%
30,AAPL221021P00210000,2022-04-21 12:17PM EDT,210.0,41.72,0.0,0.0,0.0,-,1,0,0.00%
31,AAPL221021P00215000,2022-03-30 2:15PM EDT,215.0,39.55,57.75,58.2,0.0,-,67,142,28.39%
32,AAPL221021P00220000,2022-04-11 9:39AM EDT,220.0,53.5,0.0,0.0,0.0,-,2,0,0.00%
33,AAPL221021P00225000,2022-04-12 2:03PM EDT,225.0,58.42,0.0,0.0,0.0,-,1,0,0.00%
34,AAPL221021P00230000,2022-04-28 9:56AM EDT,230.0,71.01,0.0,0.0,0.0,-,2,0,0.00%
35,AAPL221021P00300000,2022-04-28 9:56AM EDT,300.0,140.86,0.0,0.0,0.0,-,2,0,0.00%
